Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_31162_length_1688_cov_1534.273948_g14289_i0,"RP-L19e, RPL19; large subunit ribosomal protein L19e",Ribosome,,"Ribosome, eukaryotes;Ribosome, archaea",Ribosome;Ribosome,Genetic information processing;Genetic information processing
NODE_31163_length_1688_cov_1516.752898_g13062_i1,MDH2; malate dehydrogenase [EC:1.1.1.37],Citrate cycle (TCA cycle);Cysteine and methionine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism,(S)-malate:NAD+ oxidoreductase; (S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+;(2R)-3-sulfolactate:NAD+ oxidoreductase; (2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+,"Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Glyoxylate cycle;CAM (Crassulacean acid metabolism), dark;C4-dicarboxylic acid cycle, NAD+ -malic enzyme type",Central carbohydrate metabolism;Central carbohydrate metabolism;Other carbohydrate metabolism;Carbon fixation;Carbon fixation,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Energy metabolism;Energy metabolism
NODE_31166_length_1688_cov_204.712020_g14291_i0,"CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8",RNA degradation,,,,
NODE_31168_length_1688_cov_115.982306_g14292_i0,"TYRAAT; arogenate dehydrogenase (NADP+), plant [EC:1.3.1.78]","Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",L-arogenate:NADP+ oxidoreductase; L-Arogenate + NADP+ <=> L-Tyrosine + CO2 + NADPH + H+,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",Aromatic amino acid metabolism,Nucleotide and amino acid metabolism
NODE_31169_length_1688_cov_108.723002_g14293_i0,"BRE, BRCC45; BRCA1-A complex subunit BRE",Homologous recombination,,,,
NODE_31176_length_1688_cov_24.695546_g14295_i0,"MYBP; transcription factor MYB, plant",,,,,
NODE_31178_length_1688_cov_16.660159_g14296_i0,CYP94C1; 12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase / fatty acid hydroxylase [EC:1.14.14.49],,,,,
NODE_31181_length_1688_cov_10.131178_g14298_i0,FBXL2_20; F-box and leucine-rich repeat protein 2/20,,,,,
NODE_31182_length_1688_cov_8.497865_g14299_i0,"SLC15A3_4, PHT, NPF8; solute carrier family 15 (peptide/histidine transporter), member 3/4",,,,,
NODE_31184_length_1687_cov_3978.672772_g9298_i2,"E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]",Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating); Magnesium protoporphyrin monomethyl ester + NADPH + H+ + Oxygen <=> 13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + H2O;magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating); 13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + H+ + Oxygen <=> 13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + 2 H2O;magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating); 13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + H+ + Oxygen <=> Divinylprotochlorophyllide + NADP+ + 2 H2O;magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating); Magnesium protoporphyrin monomethyl ester + 3 NADPH + 3 H+ + 3 Oxygen <=> Divinylprotochlorophyllide + 3 NADP+ + 5 H2O",,,
NODE_31190_length_1687_cov_321.161172_g9544_i1,CSNK2A; casein kinase II subunit alpha [EC:2.7.11.1],Ribosome biogenesis in eukaryotes;NF-kappa B signaling pathway;Mitophagy - animal;Mitophagy - yeast;Wnt signaling pathway;Adherens junction;Circadian rhythm - plant;Measles;Herpes simplex virus 1 infection;Epstein-Barr virus infection,,,,
NODE_31191_length_1687_cov_289.449328_g7660_i1,"RAD23, HR23; UV excision repair protein RAD23",Nucleotide excision repair;Protein processing in endoplasmic reticulum,,,,
NODE_3119_length_4068_cov_18.117691_g1564_i0,"NCAPG2, LUZP5; condensin-2 complex subunit G2",,,,,
NODE_31203_length_1687_cov_64.742979_g12437_i3,E2.7.12.1; dual-specificity kinase [EC:2.7.12.1],,,,,
NODE_31204_length_1687_cov_54.692308_g14304_i0,"SLC25A32, MFT; solute carrier family 25 (mitochondrial folate transporter), member 32",,,,,
NODE_31205_length_1687_cov_48.599512_g14305_i0,HDAC11; histone deacetylase 11 [EC:3.5.1.98],Alcoholism;Human papillomavirus infection;Viral carcinogenesis,,,,
NODE_31207_length_1687_cov_46.519536_g14306_i0,ANS; anthocyanidin synthase [EC:1.14.20.4],Flavonoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; cis-3,4-Leucopelargonidin + 2-Oxoglutarate + Oxygen <=> Pelargonidin + Succinate + CO2 + 2 H2O;leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; Cyanidin + Succinate + CO2 + 2 H2O <=> Leucocyanidin + 2-Oxoglutarate + Oxygen + H+;leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; Delphinidin + Succinate + CO2 + 2 H2O <=> Leucodelphinidin + 2-Oxoglutarate + Oxygen + H+;leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; Leucocyanidin + 2-Oxoglutarate + Oxygen <=> Taxifolin + Succinate + CO2 + H2O;leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; cis-3,4-Leucopelargonidin + 2-Oxoglutarate + Oxygen <=> Dihydrokaempferol + Succinate + CO2 + H2O","Flavonoid biosynthesis, naringenin => pelargonidin",Phenylpropanoid and flavonoid biosynthesis,Nucleotide and amino acid metabolism
NODE_31224_length_1686_cov_215.745877_g14310_i0,HNRNPA1_3; heterogeneous nuclear ribonucleoprotein A1/A3,Spliceosome,,,,
NODE_31226_length_1686_cov_184.270006_g9796_i2,UGT74B1; N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195];SGT1; pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-];UGT85A23_24; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324],Tryptophan metabolism;Glucosinolate biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism,UDPglucose:thiohydroximate S-beta-D-glucosyltransferase; UDP-glucose + Phenylacetothiohydroximate <=> UDP + Desulfoglucotropeolin;UDP-glucose:N-hydroxy-2-phenylethanethioamide S-beta-D-glucosyltransferase; Indolylmethylthiohydroximate + UDP-glucose <=> Indolylmethyl-desulfoglucosinolate + UDP;UDP-glucose:4-methylthiobutylthiohydroximate S-beta-D-glucosyltransferase; 4-Methylthiobutylthiohydroximate + UDP-glucose <=> 3-Methylthiopropyl-desulfoglucosinolate + UDP,"Glucosinolate biosynthesis, tryptophan => glucobrassicin",Alkaloid and other secondary metabolite biosynthesis,Nucleotide and amino acid metabolism
NODE_31236_length_1686_cov_33.365302_g14315_i0,"SLC35A4; solute carrier family 35 (probable UDP-sugar transporter), member A4",,,,,
NODE_31243_length_1686_cov_3.446549_g14320_i0,GOLGB1; golgin subfamily B member 1,,,,,
NODE_31246_length_1685_cov_1100.844743_g14322_i0,"ADK, adoK; adenosine kinase [EC:2.7.1.20]",Purine metabolism;Metabolic pathways,ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP,,,
NODE_31256_length_1685_cov_142.812347_g14326_i0,UBC; ubiquitin C,PPAR signaling pathway,,,,
NODE_3125_length_4065_cov_178.264940_g637_i2,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]",Aminoacyl-tRNA biosynthesis,L-isoleucine:tRNA(Ile) ligase (AMP-forming); ATP + L-Isoleucine + tRNA(Ile) <=> AMP + Diphosphate + L-Isoleucyl-tRNA(Ile),"Aminoacyl-tRNA biosynthesis, eukaryotes;Aminoacyl-tRNA biosynthesis, prokaryotes",Aminoacyl tRNA;Aminoacyl tRNA,Metabolism;Metabolism
NODE_31260_length_1685_cov_122.209658_g6906_i2,rpoD; RNA polymerase primary sigma factor,,,,,
NODE_31263_length_1685_cov_74.924817_g14328_i0,STX18; syntaxin 18,SNARE interactions in vesicular transport;Phagosome,,,,
NODE_31270_length_1685_cov_11.675428_g14332_i0,CYP26A; cytochrome P450 family 26 subfamily A [EC:1.14.14.-],Retinol metabolism;Metabolic pathways,Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-18-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O;Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-4-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O,,,
NODE_31272_length_1685_cov_7.793399_g14334_i0,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",Arginine and proline metabolism;Phenylalanine metabolism;Tryptophan metabolism;Aminobenzoate degradation;Styrene degradation;Microbial metabolism in diverse environments,2-phenylacetamide amidohydrolase; 2-Phenylacetamide + H2O <=> Phenylacetic acid + Ammonia;indole-3-acetamide amidohydrolase; (Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia;4-guanidinobutanamide amidohydrolase; 4-Guanidinobutanamide + H2O <=> 4-Guanidinobutanoate + Ammonia;monocarboxylic acid amide amidohydrolase; Monocarboxylic acid amide + H2O <=> Carboxylate + Ammonia;Acrylic acid + Ammonia <=> Acrylamide + H2O;acylamide aminohydrolase; Benzamide + H2O <=> Benzoate + Ammonia,,,
NODE_31277_length_1684_cov_252.680122_g1557_i2,"SLC35E3; solute carrier family 35, member E3",,,,,
NODE_31279_length_1684_cov_179.923547_g10103_i2,pspA; phage shock protein A,,,,,
NODE_31280_length_1684_cov_127.088073_g14336_i0,"SLC29A1_2_3, ENT1_2_3; solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3",,,,,
NODE_31283_length_1684_cov_77.741896_g14337_i0,AAAS; aladin,Nucleocytoplasmic transport,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_31284_length_1684_cov_73.757187_g14338_i0,"HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]","map00072;Valine, leucine and isoleucine degradation;map00281;Butanoate metabolism;Metabolic pathways;Peroxisome",(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase (acetyl-CoA-forming); (S)-3-Hydroxy-3-methylglutaryl-CoA <=> Acetyl-CoA + Acetoacetate;3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA acetate-lyase (7-methyl-3-oxooct-6-enoyl-CoA-forming); 3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA <=> 7-Methyl-3-oxo-6-octenoyl-CoA + Acetate,"Leucine degradation, leucine => acetoacetate + acetyl-CoA;Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",Branched-chain amino acid metabolism;Fatty acid metabolism,Nucleotide and amino acid metabolism;Carbohydrate and lipid metabolism
NODE_31285_length_1684_cov_73.086850_g14339_i0,"FAB2, SSI2, desA1; acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]",Fatty acid biosynthesis;Biosynthesis of unsaturated fatty acids;Fatty acid metabolism,"stearoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating); Octadecanoyl-[acyl-carrier protein] + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> Oleoyl-[acyl-carrier protein] + 2 Oxidized ferredoxin + 2 H2O;hexadecanoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating); Hexadecanoyl-[acp] + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> Hexadecenoyl-[acyl-carrier protein] + 2 Oxidized ferredoxin + 2 H2O;palmitoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (4,5 cis-dehydrogenating); Hexadecanoyl-[acp] + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> (4Z)-Hexadec-4-enoyl-[acyl-carrier protein] + 2 Oxidized ferredoxin + 2 H2O;palmitoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (6,7 cis-dehydrogenating); Hexadecanoyl-[acp] + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> (6Z)-Hexadec-6-enoyl-[acyl-carrier protein] + 2 Oxidized ferredoxin + 2 H2O",,,
NODE_31286_length_1684_cov_50.406728_g14340_i0,SH3GL; endophilin-A,Endocytosis,,,,
NODE_31290_length_1684_cov_35.402446_g14343_i0,OTX1; homeobox protein OTX1,Signaling pathways regulating pluripotency of stem cells,,,,
NODE_31305_length_1683_cov_99.257650_g14352_i0,"NUP35, NUP53; nuclear pore complex protein Nup53",Nucleocytoplasmic transport,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_31317_length_1683_cov_39.208690_g14359_i0,K15032,,,,,
NODE_31325_length_1683_cov_12.312118_g14364_i0,"PPM1L, PP2CE; protein phosphatase 1L [EC:3.1.3.16]",,,,,
NODE_31326_length_1683_cov_6.542228_g14365_i0,"SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8",,,,,
NODE_3133_length_4063_cov_151.970852_g714_i1,"NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96",Nucleocytoplasmic transport;Influenza A,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_31344_length_1682_cov_93.104103_g8362_i1,PTC2_3; protein phosphatase PTC2/3 [EC:3.1.3.16],,,,,
NODE_31348_length_1682_cov_56.626454_g14371_i0,"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12",Ribosome,,"Ribosome, bacteria",Ribosome,Genetic information processing
NODE_31358_length_1682_cov_9.897122_g14373_i0,TFDP1; transcription factor Dp-1;TFDP2; transcription factor Dp-2,Cell cycle;TGF-beta signaling pathway,,,,
NODE_31367_length_1681_cov_1269.662377_g14379_i0,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",Cell cycle - Caulobacter;Longevity regulating pathway - worm,,,,
NODE_3136_length_4062_cov_144.948418_g1572_i0,ABA3; molybdenum cofactor sulfurtransferase [EC:2.8.1.9],Folate biosynthesis,L-cysteine:molybdenum cofactor sulfurtransferase; Molybdoenzyme molybdenum cofactor + L-Cysteine + Reduced acceptor + H+ <=> Thio-molybdenum cofactor + L-Alanine + H2O + Acceptor,,,
NODE_3137_length_4062_cov_63.175928_g1329_i1,"KIF2_24, MCAK; kinesin family member 2/24",,,,,
NODE_31385_length_1680_cov_1112.181484_g4318_i1,MPV17; protein Mpv17,Peroxisome,,,,
NODE_31388_length_1680_cov_296.152667_g14311_i1,"PDCD5, TFAR19; programmed cell death protein 5",,,,,
NODE_31390_length_1680_cov_97.323728_g14387_i0,otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12],Starch and sucrose metabolism;Metabolic pathways,"trehalose-6-phosphate phosphohydrolase; alpha,alpha'-Trehalose 6-phosphate + H2O <=> alpha,alpha-Trehalose + Orthophosphate",,,
NODE_31399_length_1680_cov_43.195586_g14389_i0,"REXO4, REX4; RNA exonuclease 4 [EC:3.1.-.-]",,,,,
NODE_31401_length_1680_cov_38.956468_g14390_i0,RSPH1; radial spoke head protein 1,,,,,
NODE_31412_length_1680_cov_12.937462_g14395_i0,UBC; ubiquitin C,PPAR signaling pathway,,,,
NODE_31414_length_1679_cov_1292.728221_g11322_i4,"SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3",,,,,
NODE_31415_length_1679_cov_763.423926_g14397_i0,LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5],Citrate cycle (TCA cycle);Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism,succinate:CoA ligase (GDP-forming); GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA;succinate:CoA ligase (IDP-forming); ITP + Succinate + CoA <=> IDP + Orthophosphate + Succinyl-CoA,"Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Central carbohydrate metabolism;Central carbohydrate metabolism,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism
NODE_31421_length_1679_cov_181.368712_g13992_i1,VTI1; vesicle transport through interaction with t-SNAREs 1,SNARE interactions in vesicular transport;Autophagy - yeast,,,,
NODE_3142_length_4060_cov_85.365246_g1575_i0,AP5B1; AP-5 complex subunit beta-1,,,,,
NODE_31434_length_1679_cov_79.430061_g14404_i0,LSG1; large subunit GTPase 1 [EC:3.6.1.-],Ribosome biogenesis in eukaryotes,,,,
NODE_31435_length_1679_cov_76.773006_g14405_i0,GLCAT14; beta-glucuronosyltransferase [EC:2.4.1.-],,,,,
NODE_31436_length_1679_cov_73.049693_g12852_i1,ACP7; acid phosphatase type 7,,,,,
NODE_31439_length_1679_cov_58.906135_g12090_i1,PRCP; lysosomal Pro-X carboxypeptidase [EC:3.4.16.2],Renin-angiotensin system;Protein digestion and absorption,,,,
NODE_3144_length_4060_cov_76.099227_g1577_i0,"IPO4, RANBP4; importin-4",,,,,
NODE_31452_length_1679_cov_8.451534_g14415_i0,"UGT8, UGT709C2; 7-deoxyloganetic acid glucosyltransferase [EC:2.4.1.323]",,,,,
NODE_31459_length_1678_cov_279.069982_g12359_i2,LARP7; La-related protein 7,,,,,
NODE_31461_length_1678_cov_198.642112_g14419_i0,"RP-L4e, RPL4; large subunit ribosomal protein L4e",Ribosome,,"Ribosome, eukaryotes;Ribosome, archaea",Ribosome;Ribosome,Genetic information processing;Genetic information processing
NODE_31462_length_1678_cov_175.342541_g14420_i0,"adk, AK; adenylate kinase [EC:2.7.4.3]",Purine metabolism;Thiamine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;map01130,ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP;ATP:dAMP phosphotransferase; ATP + dAMP <=> ADP + dADP;ADP:thiamin-diphosphate phosphotransferase; Thiamin diphosphate + ADP <=> Thiamin triphosphate + AMP,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",Purine metabolism,Nucleotide and amino acid metabolism
NODE_31469_length_1678_cov_87.035605_g2124_i6,"IRX10; putative beta-1,4-xylosyltransferase IRX10 [EC:2.4.2.-]",,,,,
NODE_3146_length_4060_cov_30.227125_g1578_i0,KIF15; kinesin family member 15,,,,,
NODE_31473_length_1678_cov_35.586249_g13417_i1,K06889; uncharacterized protein,,,,,
NODE_31474_length_1678_cov_26.508287_g14426_i0,"E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218];UGT75L6, UGTCs2; crocetin glucosyltransferase [EC:2.4.1.271];UGT85A23_24; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]",,,,,
NODE_31484_length_1677_cov_469.334152_g14432_i0,"UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]",Amino sugar and nucleotide sugar metabolism;Metabolic pathways,UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming); UDP-glucuronate <=> UDP-D-xylose + CO2,"Nucleotide sugar biosynthesis, eukaryotes",Nucleotide sugar,Metabolism
NODE_31488_length_1677_cov_225.752457_g14433_i0,BCS1; mitochondrial chaperone BCS1,,,,,
NODE_31489_length_1677_cov_193.057125_g12133_i1,"CNGC; cyclic nucleotide gated channel, plant",Plant-pathogen interaction,,,,
NODE_31498_length_1677_cov_49.791769_g14436_i0,GDAP1; ganglioside-induced differentiation-associated protein 1,,,,,
NODE_314_length_6840_cov_117.556766_g119_i2,"TPR, MLP1, MLP2; nucleoprotein TPR;KIFC1, ncd; kinesin family member C1 (minus-end-directed kinesin ATPase) [EC:5.6.1.4];EPS15; epidermal growth factor receptor substrate 15",Nucleocytoplasmic transport;Endocytosis;Pathways in cancer;Thyroid cancer,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_31508_length_1677_cov_6.289926_g14440_i0,"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]",Aminoacyl-tRNA biosynthesis,L-cysteine:tRNA(Cys) ligase (AMP-forming); ATP + L-Cysteine + tRNA(Cys) <=> AMP + Diphosphate + L-Cysteinyl-tRNA(Cys),"Aminoacyl-tRNA biosynthesis, eukaryotes;Aminoacyl-tRNA biosynthesis, prokaryotes",Aminoacyl tRNA;Aminoacyl tRNA,Metabolism;Metabolism
NODE_31511_length_1676_cov_1299.193608_g4913_i1,CCR; cinnamoyl-CoA reductase [EC:1.2.1.44],Phenylpropanoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,4-hydroxycinnamyl aldehyde:NADP+ oxidoreductase (CoA-hydroxycinnamoylating); 4-Hydroxycinnamyl aldehyde + CoA + NADP+ <=> p-Coumaroyl-CoA + NADPH + H+;caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating); Caffeic aldehyde + CoA + NADP+ <=> Caffeoyl-CoA + NADPH + H+;coniferyl aldehyde:NADP+ oxidoreductase (CoA-feruloylating); Coniferyl aldehyde + CoA + NADP+ <=> Feruloyl-CoA + NADPH + H+;sinapoyl aldehyde:NADP+ oxidoreductase (CoA-sinapoylating); Sinapoyl aldehyde + CoA + NADP+ <=> Sinapoyl-CoA + NADPH + H+;cinnamaldehyde:NADP+ oxidoreductase (CoA-cinnamoylating); Cinnamaldehyde + CoA + NADP+ <=> Cinnamoyl-CoA + NADPH + H+;cinnamaldehyde:NADP+ oxidoreductase (CoA-cinnamoylating); 5-Hydroxyferuloyl-CoA + NADPH + H+ <=> 5-Hydroxyconiferaldehyde + CoA + NADP+,"Lignin biosynthesis, cinnamate => lignin",Phenylpropanoid and flavonoid biosynthesis,Nucleotide and amino acid metabolism
NODE_3151_length_4058_cov_68.746071_g1581_i0,BRI1; protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1],Plant hormone signal transduction,,,,
NODE_31521_length_1676_cov_154.976644_g9470_i1,"SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3",,,,,
NODE_3152_length_4057_cov_181.054142_g1582_i0,KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199],Fatty acid elongation;Biosynthesis of secondary metabolites,acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Malonyl-CoA + Acyl-CoA <=> 3-Oxoacyl-CoA + CoA + CO2;very-long-chain acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Very-long-chain acyl-CoA + Malonyl-CoA <=> Very-long-chain 3-oxoacyl-CoA + CO2 + CoA,"Fatty acid biosynthesis, elongation, endoplasmic reticulum",Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_31530_length_1676_cov_58.982790_g14450_i0,MYC2; transcription factor MYC2,MAPK signaling pathway - plant;Plant hormone signal transduction,,,,
NODE_31533_length_1676_cov_37.746773_g12691_i1,"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]",Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids;RNA degradation;AMPK signaling pathway;Central carbon metabolism in cancer,"ATP:D-fructose-6-phosphate 1-phosphotransferase; ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate;ATP:D-tagatose-6-phosphate 1-phosphotransferase; D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP;CTP:D-tagatose 6-phosphate 1-phosphotransferase; CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate;UTP:D-tagatose 6-phosphate 1-phosphotransferase; UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate;ITP:D-tagatose 6-phosphate 1-phosphotransferase; ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate;ATP:D-fructose-6-phosphate 1-phosphotransferase; ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate;Formaldehyde assimilation, ribulose monophosphate pathway",Central carbohydrate metabolism;Methane metabolism,Carbohydrate and lipid metabolism;Energy metabolism
NODE_31536_length_1676_cov_12.173325_g14453_i0,"CYP85A1, BR6OX1; brassinosteroid 6-oxygenase [EC:1.14.14.179]",Brassinosteroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"6-deoxocastasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (6alpha-hydroxylating); 6-Deoxocastasterone + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> 6alpha-Hydroxycastasterone + H2O + [Oxidized NADPH---hemoprotein reductase];6alpha-hydroxy-castasterone,NADPH---hemoprotein reductase:oxygen 6-oxidoreductase; 6alpha-Hydroxycastasterone + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> Castasterone + 2 H2O + [Oxidized NADPH---hemoprotein reductase];6-deoxoteasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (teasterone-forming); 6-Deoxoteasterone + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> Teasterone + 3 H2O + 2 [Oxidized NADPH---hemoprotein reductase];3-dehydro-6-deoxoteasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (3-dehydroteasterone-forming); 3-Dehydro-6-deoxoteasterone + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> 3-Dehydroteasterone + 3 H2O + 2 [Oxidized NADPH---hemoprotein reductase];6-deoxotyphasterol,NADPH---hemoprotein reductase:oxygen oxidoreductase (typhasterol-forming); 6-Deoxotyphasterol + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> Typhasterol + 3 H2O + 2 [Oxidized NADPH---hemoprotein reductase];6-deoxocastasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (castasterone-forming); 6-Deoxocastasterone + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> Castasterone + 3 H2O + 2 [Oxidized NADPH---hemoprotein reductase]","Castasterone biosynthesis, campesterol => castasterone",Other terpenoid biosynthesis,Carbohydrate and lipid metabolism
NODE_31539_length_1676_cov_3.138291_g14455_i0,IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Epstein-Barr virus infection,,M00686,,
